question,optionA,optionB,optionC,optionD,correctAnswer,explanation,category,level,topic,difficulty
"The ratio of a father's age to his son's age is currently 3:1. In 10 years, the father will be 2.3 times as old as his son. What is the current age of the father?",80 years,65 years,60 years,55 years,60 years,"Let son's age be x, father's be 3x. In 10 years: 3x + 10 = 2.3(x + 10). Solving this gives son's age = 20 and father's age = 60.",numerical,3,Cognizant,Hard
"An inlet pipe can fill a tank in 4 hours. Due to a leak at the bottom, it takes longer to fill. If the leak can completely empty a full tank in 14 hours, how long (in hours) will it take to fill the empty tank with the inlet open?",18,7.1,4.6,5.6,5.6,"Inlet rate = 1/4, Leak rate = -1/14. Combined rate = 1/4 - 1/14 = (14 - 4) / 56. Time = 56 / (14 - 4) = 5.60 hours.",numerical,3,TCS,Hard
A train of length 250 meters is running at a speed of 72 km/h. How long (in seconds) will it take to cross a platform of length 380 meters?,28 seconds,36 seconds,31.5 seconds,12.5 seconds,31.5 seconds,Speed in m/s = 72 * 5/18 = 20.0 m/s. Total distance = Train length + Platform length = 250 + 380 = 630m. Time = Distance / Speed = 630 / 20.0 = 31.5 seconds.,numerical,3,Microsoft,Hard
"The ratio of a father's age to his son's age is currently 3:1. In 5 years, the father will be 2.5 times as old as his son. What is the current age of the father?",37 years,42 years,56 years,47 years,42 years,"Let son's age be x, father's be 3x. In 5 years: 3x + 5 = 2.5(x + 5). Solving this gives son's age = 14 and father's age = 42.",numerical,3,TCS,Hard
"An inlet pipe can fill a tank in 6 hours. Due to a leak at the bottom, it takes longer to fill. If the leak can completely empty a full tank in 10 hours, how long (in hours) will it take to fill the empty tank with the inlet open?",14.0,15,16.5,16,15,"Inlet rate = 1/6, Leak rate = -1/10. Combined rate = 1/6 - 1/10 = (10 - 6) / 60. Time = 60 / (10 - 6) = 15.00 hours.",numerical,3,TCS,Hard
A train of length 150 meters is running at a speed of 36 km/h. How long (in seconds) will it take to cross a platform of length 280 meters?,15.0 seconds,40 seconds,48 seconds,43 seconds,43 seconds,Speed in m/s = 36 * 5/18 = 10.0 m/s. Total distance = Train length + Platform length = 150 + 280 = 430m. Time = Distance / Speed = 430 / 10.0 = 43.0 seconds.,numerical,3,Capgemini,Hard
"The ratio of a father's age to his son's age is currently 4:1. In 10 years, the father will be 2.8 times as old as his son. What is the current age of the father?",56 years,61 years,51 years,51,56 years,"Let son's age be x, father's be 4x. In 10 years: 4x + 10 = 2.8(x + 10). Solving this gives son's age = 14 and father's age = 56.",numerical,3,Infosys,Hard
"An inlet pipe can fill a tank in 5 hours. Due to a leak at the bottom, it takes longer to fill. If the leak can completely empty a full tank in 13 hours, how long (in hours) will it take to fill the empty tank with the inlet open?",8.1,18,7.1,9.6,8.1,"Inlet rate = 1/5, Leak rate = -1/13. Combined rate = 1/5 - 1/13 = (13 - 5) / 65. Time = 65 / (13 - 5) = 8.12 hours.",numerical,3,Cognizant,Hard
A train of length 290 meters is running at a speed of 36 km/h. How long (in seconds) will it take to cross a platform of length 190 meters?,48 seconds,29.0 seconds,45 seconds,53 seconds,48 seconds,Speed in m/s = 36 * 5/18 = 10.0 m/s. Total distance = Train length + Platform length = 290 + 190 = 480m. Time = Distance / Speed = 480 / 10.0 = 48.0 seconds.,numerical,3,Accenture,Hard
"The ratio of a father's age to his son's age is currently 4:1. In 15 years, the father will be 2.1 times as old as his son. What is the current age of the father?",41 years,41,31 years,36 years,36 years,"Let son's age be x, father's be 4x. In 15 years: 4x + 15 = 2.1(x + 15). Solving this gives son's age = 9 and father's age = 36.",numerical,3,Accenture,Hard
"An inlet pipe can fill a tank in 4 hours. Due to a leak at the bottom, it takes longer to fill. If the leak can completely empty a full tank in 9 hours, how long (in hours) will it take to fill the empty tank with the inlet open?",6.2,8.7,13,7.2,7.2,"Inlet rate = 1/4, Leak rate = -1/9. Combined rate = 1/4 - 1/9 = (9 - 4) / 36. Time = 36 / (9 - 4) = 7.20 hours.",numerical,3,TCS,Hard
A train of length 100 meters is running at a speed of 36 km/h. How long (in seconds) will it take to cross a platform of length 170 meters?,27 seconds,10.0 seconds,24 seconds,32 seconds,27 seconds,Speed in m/s = 36 * 5/18 = 10.0 m/s. Total distance = Train length + Platform length = 100 + 170 = 270m. Time = Distance / Speed = 270 / 10.0 = 27.0 seconds.,numerical,3,Wipro,Hard
"The ratio of a father's age to his son's age is currently 5:1. In 10 years, the father will be 3.7 times as old as his son. What is the current age of the father?",100 years,105 years,95 years,80 years,100 years,"Let son's age be x, father's be 5x. In 10 years: 5x + 10 = 3.7(x + 10). Solving this gives son's age = 20 and father's age = 100.",numerical,3,Microsoft,Hard
"An inlet pipe can fill a tank in 4 hours. Due to a leak at the bottom, it takes longer to fill. If the leak can completely empty a full tank in 11 hours, how long (in hours) will it take to fill the empty tank with the inlet open?",5.3,7.8,6.3,15,6.3,"Inlet rate = 1/4, Leak rate = -1/11. Combined rate = 1/4 - 1/11 = (11 - 4) / 44. Time = 44 / (11 - 4) = 6.29 hours.",numerical,3,Cognizant,Hard
A train of length 300 meters is running at a speed of 90 km/h. How long (in seconds) will it take to cross a platform of length 370 meters?,23 seconds,31 seconds,12.0 seconds,26.8 seconds,26.8 seconds,Speed in m/s = 90 * 5/18 = 25.0 m/s. Total distance = Train length + Platform length = 300 + 370 = 670m. Time = Distance / Speed = 670 / 25.0 = 26.8 seconds.,numerical,3,TCS,Hard
"The ratio of a father's age to his son's age is currently 5:1. In 5 years, the father will be 4.2 times as old as his son. What is the current age of the father?",100 years,105 years,80 years,95 years,100 years,"Let son's age be x, father's be 5x. In 5 years: 5x + 5 = 4.2(x + 5). Solving this gives son's age = 20 and father's age = 100.",numerical,3,Amazon,Hard
"An inlet pipe can fill a tank in 6 hours. Due to a leak at the bottom, it takes longer to fill. If the leak can completely empty a full tank in 13 hours, how long (in hours) will it take to fill the empty tank with the inlet open?",11.1,19,12.6,10.1,11.1,"Inlet rate = 1/6, Leak rate = -1/13. Combined rate = 1/6 - 1/13 = (13 - 6) / 78. Time = 78 / (13 - 6) = 11.14 hours.",numerical,3,Infosys,Hard
A train of length 110 meters is running at a speed of 72 km/h. How long (in seconds) will it take to cross a platform of length 390 meters?,30 seconds,22 seconds,5.5 seconds,25 seconds,25 seconds,Speed in m/s = 72 * 5/18 = 20.0 m/s. Total distance = Train length + Platform length = 110 + 390 = 500m. Time = Distance / Speed = 500 / 20.0 = 25.0 seconds.,numerical,3,Accenture,Hard
"The ratio of a father's age to his son's age is currently 3:1. In 5 years, the father will be 2.3 times as old as his son. What is the current age of the father?",32 years,22 years,27 years,36 years,27 years,"Let son's age be x, father's be 3x. In 5 years: 3x + 5 = 2.3(x + 5). Solving this gives son's age = 9 and father's age = 27.",numerical,3,Wipro,Hard
"An inlet pipe can fill a tank in 4 hours. Due to a leak at the bottom, it takes longer to fill. If the leak can completely empty a full tank in 14 hours, how long (in hours) will it take to fill the empty tank with the inlet open?",4.6,7.1,18,5.6,5.6,"Inlet rate = 1/4, Leak rate = -1/14. Combined rate = 1/4 - 1/14 = (14 - 4) / 56. Time = 56 / (14 - 4) = 5.60 hours.",numerical,3,Infosys,Hard
A train of length 270 meters is running at a speed of 90 km/h. How long (in seconds) will it take to cross a platform of length 220 meters?,16 seconds,10.8 seconds,24 seconds,19.6 seconds,19.6 seconds,Speed in m/s = 90 * 5/18 = 25.0 m/s. Total distance = Train length + Platform length = 270 + 220 = 490m. Time = Distance / Speed = 490 / 25.0 = 19.6 seconds.,numerical,3,Amazon,Hard
"The ratio of a father's age to his son's age is currently 3:1. In 5 years, the father will be 2.2 times as old as his son. What is the current age of the father?",24 years,19 years,29 years,32 years,24 years,"Let son's age be x, father's be 3x. In 5 years: 3x + 5 = 2.2(x + 5). Solving this gives son's age = 8 and father's age = 24.",numerical,3,Infosys,Hard
"If log_2(x) + log_4(x) = 6, find the value of x.",32,77,16,8,16,Change base to 2: log_2(x) + log_2(x)/2 = 1.5 * log_2(x) = 6.0 => log_2(x) = 4 => x = 2^4 = 16.,numerical,4,Infosys,Expert
Find the remainder when 2^181 is divided by 7.,1,19,3,2,2,"By Fermat's Little Theorem, since 7 is prime, 2^6 ≡ 1 (mod 7). Therefore, 2^181 = (2^6)^30 * 2^1 ≡ 1^30 * 2 ≡ 2 (mod 7).",numerical,4,Wipro,Expert
A container contains 60 liters of pure milk. 10 liters of milk is replaced with water. This process is repeated one more time. What is the remaining quantity of pure milk in the container?,39.67 liters,48.00 liters,41.67 liters,40 liters,41.67 liters,Quantity of milk left = Capacity * (1 - replaced/Capacity)^cycles = 60 * (1 - 10/60)^2 = 60 * (50/60)^2 = 41.67 liters.,numerical,4,Accenture,Expert
"If log_2(x) + log_4(x) = 6, find the value of x.",32,16,15,8,16,Change base to 2: log_2(x) + log_2(x)/2 = 1.5 * log_2(x) = 6.0 => log_2(x) = 4 => x = 2^4 = 16.,numerical,4,TCS,Expert
Find the remainder when 3^187 is divided by 7.,1,2,3,4,3,"By Fermat's Little Theorem, since 7 is prime, 3^6 ≡ 1 (mod 7). Therefore, 3^187 = (3^6)^31 * 3^1 ≡ 1^31 * 3 ≡ 3 (mod 7).",numerical,4,Accenture,Expert
A container contains 40 liters of pure milk. 4 liters of milk is replaced with water. This process is repeated one more time. What is the remaining quantity of pure milk in the container?,32.40 liters,30.40 liters,32.00 liters,32 liters,32.40 liters,Quantity of milk left = Capacity * (1 - replaced/Capacity)^cycles = 40 * (1 - 4/40)^2 = 40 * (36/40)^2 = 32.40 liters.,numerical,4,Capgemini,Expert
"If log_2(x) + log_4(x) = 6, find the value of x.",51,32,8,16,16,Change base to 2: log_2(x) + log_2(x)/2 = 1.5 * log_2(x) = 6.0 => log_2(x) = 4 => x = 2^4 = 16.,numerical,4,TCS,Expert
Find the remainder when 5^421 is divided by 13.,4,5,1,6,5,"By Fermat's Little Theorem, since 13 is prime, 5^12 ≡ 1 (mod 13). Therefore, 5^421 = (5^12)^35 * 5^1 ≡ 1^35 * 5 ≡ 5 (mod 13).",numerical,4,Microsoft,Expert
A container contains 60 liters of pure milk. 4 liters of milk is replaced with water. This process is repeated one more time. What is the remaining quantity of pure milk in the container?,50.27 liters,48.00 liters,52 liters,52.27 liters,52.27 liters,Quantity of milk left = Capacity * (1 - replaced/Capacity)^cycles = 60 * (1 - 4/60)^2 = 60 * (56/60)^2 = 52.27 liters.,numerical,4,Google,Expert
"If log_2(x) + log_4(x) = 7.5, find the value of x.",16,64,32,8,32,Change base to 2: log_2(x) + log_2(x)/2 = 1.5 * log_2(x) = 7.5 => log_2(x) = 5 => x = 2^5 = 32.,numerical,4,Microsoft,Expert
Find the remainder when 4^421 is divided by 13.,4,3,1,5,4,"By Fermat's Little Theorem, since 13 is prime, 4^12 ≡ 1 (mod 13). Therefore, 4^421 = (4^12)^35 * 4^1 ≡ 1^35 * 4 ≡ 4 (mod 13).",numerical,4,Microsoft,Expert
A container contains 50 liters of pure milk. 10 liters of milk is replaced with water. This process is repeated one more time. What is the remaining quantity of pure milk in the container?,30.00 liters,40.00 liters,32.00 liters,30 liters,32.00 liters,Quantity of milk left = Capacity * (1 - replaced/Capacity)^cycles = 50 * (1 - 10/50)^2 = 50 * (40/50)^2 = 32.00 liters.,numerical,4,Amazon,Expert
"If log_2(x) + log_4(x) = 7.5, find the value of x.",32,64,16,8,32,Change base to 2: log_2(x) + log_2(x)/2 = 1.5 * log_2(x) = 7.5 => log_2(x) = 5 => x = 2^5 = 32.,numerical,4,Google,Expert
Find the remainder when 4^91 is divided by 7.,5,4,3,1,4,"By Fermat's Little Theorem, since 7 is prime, 4^6 ≡ 1 (mod 7). Therefore, 4^91 = (4^6)^15 * 4^1 ≡ 1^15 * 4 ≡ 4 (mod 7).",numerical,4,Infosys,Expert
A container contains 40 liters of pure milk. 4 liters of milk is replaced with water. This process is repeated one more time. What is the remaining quantity of pure milk in the container?,32.40 liters,32 liters,32.00 liters,30.40 liters,32.40 liters,Quantity of milk left = Capacity * (1 - replaced/Capacity)^cycles = 40 * (1 - 4/40)^2 = 40 * (36/40)^2 = 32.40 liters.,numerical,4,Cognizant,Expert
"If log_2(x) + log_4(x) = 7.5, find the value of x.",64,8,32,16,32,Change base to 2: log_2(x) + log_2(x)/2 = 1.5 * log_2(x) = 7.5 => log_2(x) = 5 => x = 2^5 = 32.,numerical,4,Microsoft,Expert
Find the remainder when 4^97 is divided by 7.,1,5,4,3,4,"By Fermat's Little Theorem, since 7 is prime, 4^6 ≡ 1 (mod 7). Therefore, 4^97 = (4^6)^16 * 4^1 ≡ 1^16 * 4 ≡ 4 (mod 7).",numerical,4,Capgemini,Expert
A container contains 40 liters of pure milk. 4 liters of milk is replaced with water. This process is repeated one more time. What is the remaining quantity of pure milk in the container?,32 liters,30.40 liters,32.00 liters,32.40 liters,32.40 liters,Quantity of milk left = Capacity * (1 - replaced/Capacity)^cycles = 40 * (1 - 4/40)^2 = 40 * (36/40)^2 = 32.40 liters.,numerical,4,Cognizant,Expert
"If log_2(x) + log_4(x) = 7.5, find the value of x.",64,8,32,16,32,Change base to 2: log_2(x) + log_2(x)/2 = 1.5 * log_2(x) = 7.5 => log_2(x) = 5 => x = 2^5 = 32.,numerical,4,Cognizant,Expert
Find the remainder when 3^251 is divided by 11.,1,3,2,4,3,"By Fermat's Little Theorem, since 11 is prime, 3^10 ≡ 1 (mod 11). Therefore, 3^251 = (3^10)^25 * 3^1 ≡ 1^25 * 3 ≡ 3 (mod 11).",numerical,4,Cognizant,Expert
A container contains 50 liters of pure milk. 4 liters of milk is replaced with water. This process is repeated one more time. What is the remaining quantity of pure milk in the container?,42.32 liters,42 liters,40.32 liters,40.00 liters,42.32 liters,Quantity of milk left = Capacity * (1 - replaced/Capacity)^cycles = 50 * (1 - 4/50)^2 = 50 * (46/50)^2 = 42.32 liters.,numerical,4,Microsoft,Expert
"If log_2(x) + log_4(x) = 7.5, find the value of x.",32,64,8,16,32,Change base to 2: log_2(x) + log_2(x)/2 = 1.5 * log_2(x) = 7.5 => log_2(x) = 5 => x = 2^5 = 32.,numerical,4,Tech Mahindra,Expert
Find the remainder when 2^291 is divided by 11.,1,2,3,92,2,"By Fermat's Little Theorem, since 11 is prime, 2^10 ≡ 1 (mod 11). Therefore, 2^291 = (2^10)^29 * 2^1 ≡ 1^29 * 2 ≡ 2 (mod 11).",numerical,4,Accenture,Expert
A container contains 60 liters of pure milk. 10 liters of milk is replaced with water. This process is repeated one more time. What is the remaining quantity of pure milk in the container?,41.67 liters,48.00 liters,39.67 liters,40 liters,41.67 liters,Quantity of milk left = Capacity * (1 - replaced/Capacity)^cycles = 60 * (1 - 10/60)^2 = 60 * (50/60)^2 = 41.67 liters.,numerical,4,Capgemini,Expert
"If log_2(x) + log_4(x) = 4.5, find the value of x.",8,4,28,16,8,Change base to 2: log_2(x) + log_2(x)/2 = 1.5 * log_2(x) = 4.5 => log_2(x) = 3 => x = 2^3 = 8.,numerical,4,Google,Expert
Find the remainder when 3^289 is divided by 13.,4,1,3,2,3,"By Fermat's Little Theorem, since 13 is prime, 3^12 ≡ 1 (mod 13). Therefore, 3^289 = (3^12)^24 * 3^1 ≡ 1^24 * 3 ≡ 3 (mod 13).",numerical,4,TCS,Expert
A container contains 50 liters of pure milk. 5 liters of milk is replaced with water. This process is repeated one more time. What is the remaining quantity of pure milk in the container?,38.50 liters,40 liters,40.50 liters,40.00 liters,40.50 liters,Quantity of milk left = Capacity * (1 - replaced/Capacity)^cycles = 50 * (1 - 5/50)^2 = 50 * (45/50)^2 = 40.50 liters.,numerical,4,Microsoft,Expert
"If log_2(x) + log_4(x) = 4.5, find the value of x.",16,4,8,45,8,Change base to 2: log_2(x) + log_2(x)/2 = 1.5 * log_2(x) = 4.5 => log_2(x) = 3 => x = 2^3 = 8.,numerical,4,Accenture,Expert
Find the remainder when 2^181 is divided by 13.,3,2,1,81,2,"By Fermat's Little Theorem, since 13 is prime, 2^12 ≡ 1 (mod 13). Therefore, 2^181 = (2^12)^15 * 2^1 ≡ 1^15 * 2 ≡ 2 (mod 13).",numerical,4,Google,Expert
A container contains 50 liters of pure milk. 10 liters of milk is replaced with water. This process is repeated one more time. What is the remaining quantity of pure milk in the container?,40.00 liters,30.00 liters,32.00 liters,30 liters,32.00 liters,Quantity of milk left = Capacity * (1 - replaced/Capacity)^cycles = 50 * (1 - 10/50)^2 = 50 * (40/50)^2 = 32.00 liters.,numerical,4,Microsoft,Expert
"If log_2(x) + log_4(x) = 7.5, find the value of x.",8,16,64,32,32,Change base to 2: log_2(x) + log_2(x)/2 = 1.5 * log_2(x) = 7.5 => log_2(x) = 5 => x = 2^5 = 32.,numerical,4,Tech Mahindra,Expert
Find the remainder when 2^291 is divided by 11.,1,7,3,2,2,"By Fermat's Little Theorem, since 11 is prime, 2^10 ≡ 1 (mod 11). Therefore, 2^291 = (2^10)^29 * 2^1 ≡ 1^29 * 2 ≡ 2 (mod 11).",numerical,4,Cognizant,Expert
A container contains 50 liters of pure milk. 5 liters of milk is replaced with water. This process is repeated one more time. What is the remaining quantity of pure milk in the container?,40.00 liters,38.50 liters,40 liters,40.50 liters,40.50 liters,Quantity of milk left = Capacity * (1 - replaced/Capacity)^cycles = 50 * (1 - 5/50)^2 = 50 * (45/50)^2 = 40.50 liters.,numerical,4,Microsoft,Expert
"If log_2(x) + log_4(x) = 6, find the value of x.",16,12,32,8,16,Change base to 2: log_2(x) + log_2(x)/2 = 1.5 * log_2(x) = 6.0 => log_2(x) = 4 => x = 2^4 = 16.,numerical,4,TCS,Expert
Find the remainder when 5^151 is divided by 7.,1,5,6,4,5,"By Fermat's Little Theorem, since 7 is prime, 5^6 ≡ 1 (mod 7). Therefore, 5^151 = (5^6)^25 * 5^1 ≡ 1^25 * 5 ≡ 5 (mod 7).",numerical,4,Capgemini,Expert
A container contains 50 liters of pure milk. 5 liters of milk is replaced with water. This process is repeated one more time. What is the remaining quantity of pure milk in the container?,38.50 liters,40.50 liters,40.00 liters,40 liters,40.50 liters,Quantity of milk left = Capacity * (1 - replaced/Capacity)^cycles = 50 * (1 - 5/50)^2 = 50 * (45/50)^2 = 40.50 liters.,numerical,4,Capgemini,Expert
"If log_2(x) + log_4(x) = 6, find the value of x.",32,63,8,16,16,Change base to 2: log_2(x) + log_2(x)/2 = 1.5 * log_2(x) = 6.0 => log_2(x) = 4 => x = 2^4 = 16.,numerical,4,Cognizant,Expert
Find the remainder when 3^253 is divided by 13.,3,4,1,2,3,"By Fermat's Little Theorem, since 13 is prime, 3^12 ≡ 1 (mod 13). Therefore, 3^253 = (3^12)^21 * 3^1 ≡ 1^21 * 3 ≡ 3 (mod 13).",numerical,4,Wipro,Expert
A container contains 50 liters of pure milk. 10 liters of milk is replaced with water. This process is repeated one more time. What is the remaining quantity of pure milk in the container?,30.00 liters,40.00 liters,30 liters,32.00 liters,32.00 liters,Quantity of milk left = Capacity * (1 - replaced/Capacity)^cycles = 50 * (1 - 10/50)^2 = 50 * (40/50)^2 = 32.00 liters.,numerical,4,TCS,Expert
"If log_2(x) + log_4(x) = 7.5, find the value of x.",64,8,16,32,32,Change base to 2: log_2(x) + log_2(x)/2 = 1.5 * log_2(x) = 7.5 => log_2(x) = 5 => x = 2^5 = 32.,numerical,4,Capgemini,Expert
Find the remainder when 2^191 is divided by 11.,2,1,3,5,2,"By Fermat's Little Theorem, since 11 is prime, 2^10 ≡ 1 (mod 11). Therefore, 2^191 = (2^10)^19 * 2^1 ≡ 1^19 * 2 ≡ 2 (mod 11).",numerical,4,Tech Mahindra,Expert
A container contains 60 liters of pure milk. 4 liters of milk is replaced with water. This process is repeated one more time. What is the remaining quantity of pure milk in the container?,52.27 liters,52 liters,48.00 liters,50.27 liters,52.27 liters,Quantity of milk left = Capacity * (1 - replaced/Capacity)^cycles = 60 * (1 - 4/60)^2 = 60 * (56/60)^2 = 52.27 liters.,numerical,4,Google,Expert
"If log_2(x) + log_4(x) = 7.5, find the value of x.",8,32,16,64,32,Change base to 2: log_2(x) + log_2(x)/2 = 1.5 * log_2(x) = 7.5 => log_2(x) = 5 => x = 2^5 = 32.,numerical,4,Microsoft,Expert
Find the remainder when 4^229 is divided by 7.,5,4,3,1,4,"By Fermat's Little Theorem, since 7 is prime, 4^6 ≡ 1 (mod 7). Therefore, 4^229 = (4^6)^38 * 4^1 ≡ 1^38 * 4 ≡ 4 (mod 7).",numerical,4,Wipro,Expert
A container contains 40 liters of pure milk. 10 liters of milk is replaced with water. This process is repeated one more time. What is the remaining quantity of pure milk in the container?,32.00 liters,20 liters,20.50 liters,22.50 liters,22.50 liters,Quantity of milk left = Capacity * (1 - replaced/Capacity)^cycles = 40 * (1 - 10/40)^2 = 40 * (30/40)^2 = 22.50 liters.,numerical,4,Microsoft,Expert
"If log_2(x) + log_4(x) = 4.5, find the value of x.",16,96,4,8,8,Change base to 2: log_2(x) + log_2(x)/2 = 1.5 * log_2(x) = 4.5 => log_2(x) = 3 => x = 2^3 = 8.,numerical,4,Wipro,Expert
Find the remainder when 4^217 is divided by 13.,3,4,1,5,4,"By Fermat's Little Theorem, since 13 is prime, 4^12 ≡ 1 (mod 13). Therefore, 4^217 = (4^12)^18 * 4^1 ≡ 1^18 * 4 ≡ 4 (mod 13).",numerical,4,Infosys,Expert
A container contains 40 liters of pure milk. 10 liters of milk is replaced with water. This process is repeated one more time. What is the remaining quantity of pure milk in the container?,20.50 liters,32.00 liters,22.50 liters,20 liters,22.50 liters,Quantity of milk left = Capacity * (1 - replaced/Capacity)^cycles = 40 * (1 - 10/40)^2 = 40 * (30/40)^2 = 22.50 liters.,numerical,4,Cognizant,Expert
"If log_2(x) + log_4(x) = 6, find the value of x.",8,31,16,32,16,Change base to 2: log_2(x) + log_2(x)/2 = 1.5 * log_2(x) = 6.0 => log_2(x) = 4 => x = 2^4 = 16.,numerical,4,Accenture,Expert
Find the remainder when 4^331 is divided by 11.,1,3,5,4,4,"By Fermat's Little Theorem, since 11 is prime, 4^10 ≡ 1 (mod 11). Therefore, 4^331 = (4^10)^33 * 4^1 ≡ 1^33 * 4 ≡ 4 (mod 11).",numerical,4,TCS,Expert
A container contains 60 liters of pure milk. 5 liters of milk is replaced with water. This process is repeated one more time. What is the remaining quantity of pure milk in the container?,50 liters,48.42 liters,50.42 liters,48.00 liters,50.42 liters,Quantity of milk left = Capacity * (1 - replaced/Capacity)^cycles = 60 * (1 - 5/60)^2 = 60 * (55/60)^2 = 50.42 liters.,numerical,4,Microsoft,Expert
"If log_2(x) + log_4(x) = 7.5, find the value of x.",32,16,64,8,32,Change base to 2: log_2(x) + log_2(x)/2 = 1.5 * log_2(x) = 7.5 => log_2(x) = 5 => x = 2^5 = 32.,numerical,4,Microsoft,Expert
Find the remainder when 3^181 is divided by 7.,4,2,3,1,3,"By Fermat's Little Theorem, since 7 is prime, 3^6 ≡ 1 (mod 7). Therefore, 3^181 = (3^6)^30 * 3^1 ≡ 1^30 * 3 ≡ 3 (mod 7).",numerical,4,Capgemini,Expert
A container contains 40 liters of pure milk. 4 liters of milk is replaced with water. This process is repeated one more time. What is the remaining quantity of pure milk in the container?,32 liters,32.40 liters,30.40 liters,32.00 liters,32.40 liters,Quantity of milk left = Capacity * (1 - replaced/Capacity)^cycles = 40 * (1 - 4/40)^2 = 40 * (36/40)^2 = 32.40 liters.,numerical,4,Google,Expert
"If log_2(x) + log_4(x) = 4.5, find the value of x.",58,4,16,8,8,Change base to 2: log_2(x) + log_2(x)/2 = 1.5 * log_2(x) = 4.5 => log_2(x) = 3 => x = 2^3 = 8.,numerical,4,Amazon,Expert
Find the remainder when 3^223 is divided by 7.,1,4,2,3,3,"By Fermat's Little Theorem, since 7 is prime, 3^6 ≡ 1 (mod 7). Therefore, 3^223 = (3^6)^37 * 3^1 ≡ 1^37 * 3 ≡ 3 (mod 7).",numerical,4,Capgemini,Expert
A container contains 60 liters of pure milk. 5 liters of milk is replaced with water. This process is repeated one more time. What is the remaining quantity of pure milk in the container?,50.42 liters,50 liters,48.42 liters,48.00 liters,50.42 liters,Quantity of milk left = Capacity * (1 - replaced/Capacity)^cycles = 60 * (1 - 5/60)^2 = 60 * (55/60)^2 = 50.42 liters.,numerical,4,Infosys,Expert
"If log_2(x) + log_4(x) = 7.5, find the value of x.",16,32,64,8,32,Change base to 2: log_2(x) + log_2(x)/2 = 1.5 * log_2(x) = 7.5 => log_2(x) = 5 => x = 2^5 = 32.,numerical,4,Amazon,Expert
Find the remainder when 2^103 is divided by 7.,59,3,2,1,2,"By Fermat's Little Theorem, since 7 is prime, 2^6 ≡ 1 (mod 7). Therefore, 2^103 = (2^6)^17 * 2^1 ≡ 1^17 * 2 ≡ 2 (mod 7).",numerical,4,Infosys,Expert
A container contains 50 liters of pure milk. 4 liters of milk is replaced with water. This process is repeated one more time. What is the remaining quantity of pure milk in the container?,40.00 liters,42.32 liters,42 liters,40.32 liters,42.32 liters,Quantity of milk left = Capacity * (1 - replaced/Capacity)^cycles = 50 * (1 - 4/50)^2 = 50 * (46/50)^2 = 42.32 liters.,numerical,4,Tech Mahindra,Expert
"If log_2(x) + log_4(x) = 4.5, find the value of x.",76,8,4,16,8,Change base to 2: log_2(x) + log_2(x)/2 = 1.5 * log_2(x) = 4.5 => log_2(x) = 3 => x = 2^3 = 8.,numerical,4,Microsoft,Expert
Find the remainder when 5^199 is divided by 7.,5,4,1,6,5,"By Fermat's Little Theorem, since 7 is prime, 5^6 ≡ 1 (mod 7). Therefore, 5^199 = (5^6)^33 * 5^1 ≡ 1^33 * 5 ≡ 5 (mod 7).",numerical,4,Infosys,Expert
A container contains 60 liters of pure milk. 10 liters of milk is replaced with water. This process is repeated one more time. What is the remaining quantity of pure milk in the container?,41.67 liters,48.00 liters,39.67 liters,40 liters,41.67 liters,Quantity of milk left = Capacity * (1 - replaced/Capacity)^cycles = 60 * (1 - 10/60)^2 = 60 * (50/60)^2 = 41.67 liters.,numerical,4,Microsoft,Expert
"If log_2(x) + log_4(x) = 7.5, find the value of x.",16,8,64,32,32,Change base to 2: log_2(x) + log_2(x)/2 = 1.5 * log_2(x) = 7.5 => log_2(x) = 5 => x = 2^5 = 32.,numerical,4,Capgemini,Expert
Find the remainder when 4^163 is divided by 7.,5,3,1,4,4,"By Fermat's Little Theorem, since 7 is prime, 4^6 ≡ 1 (mod 7). Therefore, 4^163 = (4^6)^27 * 4^1 ≡ 1^27 * 4 ≡ 4 (mod 7).",numerical,4,Amazon,Expert
A container contains 60 liters of pure milk. 10 liters of milk is replaced with water. This process is repeated one more time. What is the remaining quantity of pure milk in the container?,40 liters,48.00 liters,39.67 liters,41.67 liters,41.67 liters,Quantity of milk left = Capacity * (1 - replaced/Capacity)^cycles = 60 * (1 - 10/60)^2 = 60 * (50/60)^2 = 41.67 liters.,numerical,4,Google,Expert
"If log_2(x) + log_4(x) = 4.5, find the value of x.",97,4,8,16,8,Change base to 2: log_2(x) + log_2(x)/2 = 1.5 * log_2(x) = 4.5 => log_2(x) = 3 => x = 2^3 = 8.,numerical,4,Wipro,Expert
Find the remainder when 3^211 is divided by 11.,2,4,1,3,3,"By Fermat's Little Theorem, since 11 is prime, 3^10 ≡ 1 (mod 11). Therefore, 3^211 = (3^10)^21 * 3^1 ≡ 1^21 * 3 ≡ 3 (mod 11).",numerical,4,Tech Mahindra,Expert
A container contains 60 liters of pure milk. 5 liters of milk is replaced with water. This process is repeated one more time. What is the remaining quantity of pure milk in the container?,48.42 liters,50 liters,48.00 liters,50.42 liters,50.42 liters,Quantity of milk left = Capacity * (1 - replaced/Capacity)^cycles = 60 * (1 - 5/60)^2 = 60 * (55/60)^2 = 50.42 liters.,numerical,4,Accenture,Expert
